product code ,name ,category,brand,size,finish,image 1,image 2,image 3
PR,plain and light ivory,wall/floor tile,Prime ,"300x450 , 300x300 / box",glossy/ matt,https://drive.google.com/file/d/186gTpORLjKHY3R1kyuCiV0aFu59343iB/view?usp=drive_link,,
NE,Plain white ,floor tile ,Nepovit,600x600/ box ,matt,https://drive.google.com/file/d/1GFVY9Sj000p3XBQLhkxu-vxgwTXn78nw/view?usp=drive_link,,
PR,portoro black,floor tile,Prime ,600x1200/ box,GVT glossy,https://drive.google.com/file/d/1-MPFEiqBNNfJFb4J_dFGYAQZKVxK3hpc/view?usp=drive_link,,
PR,pristine,wall/floor tile,Prime ,"300x450 , 300x300 / box",glossy/ matt,https://drive.google.com/file/d/1uh8qvPE5Cg6ajmTkDxZTPY0Lh6kbQvLY/view?usp=drive_link,,
PR,purple mist ,wall/floor tile,Prime ,"300x450 , 300x300 / box",glossy/ matt,https://drive.google.com/file/d/1OMyz4jJSB1W6xkbVP6j_9YakQdADos0R/view?usp=drive_link,,
NE,quadrat grey,"floor, parking tile ",Nepovit,400x400/ box ,matt,https://drive.google.com/file/d/14Q50W7Tqvc-o-aQdLHaTCen6OKoXoMh_/view?usp=drive_link,,
LM,quadro telia ,Parking floor tile ,laminar ,400x400/ box,matt,https://drive.google.com/file/d/1O4_Jr4-3N7BrOgCmFJw8WFxTDq_gE8LO/view?usp=drive_link,,
JMS,R black,Granite/marbel,Jay mangalam stonex,"according to slab, in sq. ft.",Polished & Lapatro,https://drive.google.com/file/d/1m-fvB741WxuaL07aqvYTuzFnQ6OtA-RT/view?usp=drive_link,,
PR,rachel,wall/floor tile,Prime ,"300x450 , 300x300 / box",glossy/ matt,https://drive.google.com/file/d/18ZNKM-iucwfZiHRIimyqfyuYtPI8jeXg/view?usp=drive_link,,
NE,rapido peral,"wall,floor tile ",Nepovit,"300x450, 300x300/ box",glossy/ matt,https://drive.google.com/file/d/1JbAvfnwo2qNdzNsuLIsWpHJATIvsr1fn/view?usp=drive_link,,
LM,redia blue ,floor tile,laminar ,600x600/ box ,matt,https://drive.google.com/file/d/1XDqm-ufYNIsy9ut_mBsCR_n0SSiExY1t/view?usp=drive_link,,
DO,reducer tee (door),CPVC/PVC,Dolphin ,Avilable in all size  ,"smooth, glossy, and non-porous",https://drive.google.com/file/d/1FtwQEGuwY2gkTsJ2wK8mcUFkX2HqeIk0/view?usp=drive_link,,
PR,richmond,wall/floor tile,Prime ,"300x450 , 300x300 / box",glossy/ matt,https://drive.google.com/file/d/1GiG2cDbwxglIUejnF1mSg6x6svyvYI2d/view?usp=drive_link,,
PR,ritz,wall/floor tile,Prime ,"300x450 , 300x300 / box",glossy/ matt,https://drive.google.com/file/d/1u847g0aiBkYAYrRnzobdxmUXHWdkoMbd/view?usp=drive_link,,
